N,"time (original, -O3)",time (bounds check removed),time (iteration order swapped),time (-O4),time (-O5)
200,6.489,4.569,4.385,4.360,4.439
400,17.203,10.219,9.377,9.484,9.640
600,34.077,21.814,20.689,20.992,21.175
800,58.444,36.966,36.480,35.792,35.675
1000,91.696,58.090,56.335,56.378,56.512
1200,132.337,79.897,80.983,79.206,80.540
1400,181.711,130.654,109.302,107.073,107.587
1600,223.928,157.987,141.852,140.577,137.624
1800,274.923,190.679,179.315,176.669,169.125
2000,335.669,233.019,223.713,218.918,216.646